dataset,column,null_rate
Train,Provider,0.0
Train,PotentialFraud,0.0
Beneficiary,BeneID,0.0
Beneficiary,DOB,0.0
Beneficiary,DOD,0.9897442189439649
Beneficiary,Gender,0.0
Beneficiary,Race,0.0
Beneficiary,RenalDiseaseIndicator,0.0
Beneficiary,State,0.0
Beneficiary,County,0.0
Beneficiary,NoOfMonths_PartACov,0.0
Beneficiary,NoOfMonths_PartBCov,0.0
Beneficiary,ChronicCond_Alzheimer,0.0
Beneficiary,ChronicCond_Heartfailure,0.0
Beneficiary,ChronicCond_KidneyDisease,0.0
Beneficiary,ChronicCond_Cancer,0.0
Beneficiary,ChronicCond_ObstrPulmonary,0.0
Beneficiary,ChronicCond_Depression,0.0
Beneficiary,ChronicCond_Diabetes,0.0
Beneficiary,ChronicCond_IschemicHeart,0.0
Beneficiary,ChronicCond_Osteoporasis,0.0
Beneficiary,ChronicCond_rheumatoidarthritis,0.0
Beneficiary,ChronicCond_stroke,0.0
Beneficiary,IPAnnualReimbursementAmt,0.0
Beneficiary,IPAnnualDeductibleAmt,0.0
Beneficiary,OPAnnualReimbursementAmt,0.0
Beneficiary,OPAnnualDeductibleAmt,0.0
Inpatient,BeneID,0.0
Inpatient,ClaimID,0.0
Inpatient,ClaimStartDt,0.0
Inpatient,ClaimEndDt,0.0
Inpatient,Provider,0.0
Inpatient,InscClaimAmtReimbursed,0.0
Inpatient,AttendingPhysician,0.002767208578346593
Inpatient,OperatingPhysician,0.41122696051786334
Inpatient,OtherPhysician,0.8841231407817364
Inpatient,AdmissionDt,0.0
Inpatient,ClmAdmitDiagnosisCode,0.0
Inpatient,DeductibleAmtPaid,0.022211790285121314
Inpatient,DischargeDt,0.0
Inpatient,DiagnosisGroupCode,0.0
Inpatient,ClmDiagnosisCode_1,0.0
Inpatient,ClmDiagnosisCode_2,0.005583831595592232
Inpatient,ClmDiagnosisCode_3,0.01670208034787765
Inpatient,ClmDiagnosisCode_4,0.037900874635568516
Inpatient,ClmDiagnosisCode_5,0.07150269308691999
Inpatient,ClmDiagnosisCode_6,0.119533527696793
Inpatient,ClmDiagnosisCode_7,0.17932499876463903
Inpatient,ClmDiagnosisCode_8,0.24563917576715916
Inpatient,ClmDiagnosisCode_9,0.33347334091021397
Inpatient,ClmDiagnosisCode_10,0.9029747492217226
Inpatient,ClmProcedureCode_1,0.4280772841824381
Inpatient,ClmProcedureCode_2,0.8652468251223008
Inpatient,ClmProcedureCode_3,0.9761575332312101
Inpatient,ClmProcedureCode_4,0.9971339625438553
Inpatient,ClmProcedureCode_5,0.9997776350249543
Inpatient,ClmProcedureCode_6,1.0
Outpatient,BeneID,0.0
Outpatient,ClaimID,0.0
Outpatient,ClaimStartDt,0.0
Outpatient,ClaimEndDt,0.0
Outpatient,Provider,0.0
Outpatient,InscClaimAmtReimbursed,0.0
Outpatient,AttendingPhysician,0.00269634969105936
Outpatient,OperatingPhysician,0.824974842439308
Outpatient,OtherPhysician,0.6232720473908567
Outpatient,ClmDiagnosisCode_1,0.02018978747897098
Outpatient,ClmDiagnosisCode_2,0.3773730677931073
Outpatient,ClmDiagnosisCode_3,0.6074126438713092
Outpatient,ClmDiagnosisCode_4,0.7574135130384732
Outpatient,ClmDiagnosisCode_5,0.856405858572982
Outpatient,ClmDiagnosisCode_6,0.9058286350019411
Outpatient,ClmDiagnosisCode_7,0.9363364024591636
Outpatient,ClmDiagnosisCode_8,0.9557458709731003
Outpatient,ClmDiagnosisCode_9,0.9713406613782674
Outpatient,ClmDiagnosisCode_10,0.9979082043585836
Outpatient,ClmProcedureCode_1,0.9996870998209516
Outpatient,ClmProcedureCode_2,0.9999304666268781
Outpatient,ClmProcedureCode_3,0.9999922740696531
Outpatient,ClmProcedureCode_4,0.9999961370348266
Outpatient,ClmProcedureCode_5,1.0
Outpatient,ClmProcedureCode_6,1.0
Outpatient,DeductibleAmtPaid,0.0
Outpatient,ClmAdmitDiagnosisCode,0.7963734482951769
